asin,title,author,cover_url,publish_date,found
0988812517,Vain,Fisher Amelie,https://covers.openlibrary.org/b/id/10329990-M.jpg,"Feb 07, 2013",True
0988812541,Greed,Fisher Amelie,https://covers.openlibrary.org/b/id/12815789-M.jpg,2013,True
0989041697,Hustle Me,Jennifer Foor,,2013,True
0989104400,Falling Into You,Jasinda Wilder,https://covers.openlibrary.org/b/id/12056710-M.jpg,"Mar 19, 2013",True
0989104427,Falling into Us,Jasinda Wilder,,2013-06-21,True
0989104478,,,,,False
0989108155,Crash Into Me,K.M. Scott,https://covers.openlibrary.org/b/id/11965106-M.jpg,"Aug 24, 2013",True
0989108171,Fall Into Me (Heart of Stone) (Volume 2),K.M. Scott,,2013-11-23,True
0989108198,Give in to Me,K.M. Scott,,2014-02-07,True
0989117375,Double Full,Kindle Alexander,https://covers.openlibrary.org/b/id/14460234-M.jpg,2013-10-08,True
0989138607,Sweet Thing,Renee Carlino,https://covers.openlibrary.org/b/id/10192835-M.jpg,2013-03-17,True
0989138631,Sweet Little Thing,Renee Carlino,https://covers.openlibrary.org/b/id/10862557-M.jpg,"Mar 03, 2014",True
0989210987,Adore me,Jillian Dodd,,"Nov 23, 2013",True
0989246515,,,,,False
0989246531,,,,,False
0989247910,Undeclared,Jen Frederick,,2013-04-27,True
0989247953,,,,,False
0989247988,,,,,False
0989269833,,,,,False
0989269868,,,,,False
0989281000,Neanderthal Seeks Human,Penny Reid,https://covers.openlibrary.org/b/id/11562350-M.jpg,"Mar 13, 2013",True
0989283410,Worthy of Redemption,L.D. Davis,,2013-07-22,True
0989339211,Addicted to You,Krista Ritchie,https://covers.openlibrary.org/b/id/13463774-M.jpg,2013,True
0989339246,Addicted for Now (Addicted #2),Krista Ritchie,,2013-12-18,True
0989339270,Ricochet,Krista Ritchie,https://covers.openlibrary.org/b/id/13685258-M.jpg,2013,True
0989339289,,,,,False
0989353656,Falling Into Infinity (Infinity Series) (Volume 1),Layne Harper,,2013-06-11,True
0989373819,,,,,False
0989373827,Finding My Forever,Heidi McLaughlin,,2013-12-30,True
0989373843,Finding my way,"McLaughlin, Heidi (Romance fiction writer)",https://covers.openlibrary.org/b/id/12545458-M.jpg,2014,True
0989416402,,,,,False
0989416410,Off Sides,Sawyer Bennett,https://covers.openlibrary.org/b/id/10108680-M.jpg,"Feb 21, 2013",True
0989416429,,,,,False
0989416496,Off Chance,Sawyer Bennett,https://covers.openlibrary.org/b/id/13158507-M.jpg,"Oct 20, 2013",True
0989450201,Driven,K. Bromberg,https://covers.openlibrary.org/b/id/10509184-M.jpg,2013,True
0989450236,Fueled,K. Bromberg,,2013,True
0989450252,Crashed,K. Bromberg,,2014,True
0989465004,Hearts in darkness,Laura Kaye,,2013,True
0989492508,Eversea,Natasha Boyd,https://covers.openlibrary.org/b/id/10132420-M.jpg,"Jun 04, 2013",True
0989492559,"Forever, Jack",Natasha Boyd,https://covers.openlibrary.org/b/id/10756297-M.jpg,"Nov 26, 2013",True
0989527417,Branded,Abi Ketner,https://covers.openlibrary.org/b/id/12545192-M.jpg,2014,True
0989598403,The Law of Attraction,N.M. Silber,https://covers.openlibrary.org/b/id/10170367-M.jpg,"Jul 23, 2013",True
0989668401,Out of Line,Jen McLaughlin,https://covers.openlibrary.org/b/id/11556647-M.jpg,"Sep 10, 2013",True
0989713482,Raising Ryann,Alyssa Rae Taylor,,"Aug 09, 2013",True
0989740617,A Beautiful Mess,T. K. Leigh,https://covers.openlibrary.org/b/id/10092663-M.jpg,"Sep 16, 2013",True
0989740633,,,,,False
0989768406,Hardwired,Meredith Wild,https://covers.openlibrary.org/b/id/13059218-M.jpg,2013,True
0989769704,,,,,False
0989780716,,,,,False
0989825086,Night Moves,Andrea Smith,,2013,True
0991105419,,,,,False
0991127390,Toxic,Rachel Van Dyken,https://covers.openlibrary.org/b/id/14526768-M.jpg,2014-03-04,True
0991192818,Nocturnes,Kendall Grey,,2013,True
0991309618,Cherished,Kelly Elliott,,2014-01-,True
0991309634,Believe,Kelly Elliott,https://covers.openlibrary.org/b/id/9032475-M.jpg,"Dec 18, 2013",True
0991309650,Broken dreams,Kelly Elliott,https://covers.openlibrary.org/b/id/12746097-M.jpg,2014,True
0991309693,Unconditional Love,Kelly Elliott,,2014-06-24,True
0991379616,Forever with you,Laurelin Paige,,2014,True
0991379632,Fixed on you,Laurelin Paige,https://covers.openlibrary.org/b/id/12187265-M.jpg,2014,True
0991379659,The fixed trilogy,Laurelin Paige,,2013,True
0991401115,Behind His Eyes - Truth,Aleatha Romig,https://covers.openlibrary.org/b/id/11230070-M.jpg,"Mar 18, 2014",True
0991426711,Unraveled,Jen Frederick,https://covers.openlibrary.org/b/id/10819064-M.jpg,2014,True
0991426738,,,,,False
0991587200,,,,,False
0991686004,Ten Tiny Breaths,K. A. Tucker,https://covers.openlibrary.org/b/id/10864146-M.jpg,"Nov 27, 2012",True
099173274X,Torn from You,Nashoda Rose,https://covers.openlibrary.org/b/id/11609586-M.jpg,"Dec 19, 2013",True
0991732766,With You,Nashoda Rose,https://covers.openlibrary.org/b/id/13930933-M.jpg,"Dec 19, 2013",True
0991841131,,,,,False
0991841174,,,,,False
0992106818,Rumor has it,Elisabeth Grace,https://covers.openlibrary.org/b/id/12484109-M.jpg,2013,True
0992142202,Break In Two,M J Summers,,2013-11-24,True
0992466512,,,,,False
0993702325,Overwhelmed by You,Nashoda Rose,https://covers.openlibrary.org/b/id/10874716-M.jpg,"May 21, 2014",True
0996053018,,,,,False
1250050367,Rules of entanglement,Gina L. Maxwell,https://covers.openlibrary.org/b/id/8243584-M.jpg,2014,True
125005236X,Lick,Kylie Scott,https://covers.openlibrary.org/b/id/12489456-M.jpg,2014,True
1250058236,Night owl,M. Pierce,https://covers.openlibrary.org/b/id/14609462-M.jpg,2014,True
140220521X,How to kill a rock star,Tiffanie DeBartolo,https://covers.openlibrary.org/b/id/751274-M.jpg,2005,True
1402244428,Backstage Pass,Olivia Cunning,https://covers.openlibrary.org/b/id/10920279-M.jpg,"Oct 01, 2010",True
1402245777,Rock hard,Olivia Cunning,https://covers.openlibrary.org/b/id/13003667-M.jpg,2011,True
1402245831,Hot Ticket,Olivia Cunning,https://covers.openlibrary.org/b/id/12841334-M.jpg,2013,True
1402245866,Wicked beat,Olivia Cunning,,2013,True
1402271514,Double Time,Olivia Cunning,https://covers.openlibrary.org/b/id/12833211-M.jpg,2012,True
1402284853,Against the ropes,Sarah Castille,https://covers.openlibrary.org/b/id/7988220-M.jpg,2013,True
1419953249,The Sweet Gum Tree,Katherine Allred,https://covers.openlibrary.org/b/id/1806116-M.jpg,December 2005,True
1419953656,Undressed,Avery Aster,https://covers.openlibrary.org/b/id/12827755-M.jpg,2014,True
1419970291,Reaper's Property,Joanna Wylde,https://covers.openlibrary.org/b/id/10473779-M.jpg,2013,True
144235948X,Beautiful Disaster,Jamie McGuire,https://covers.openlibrary.org/b/id/9071091-M.jpg,"Aug 14, 2012",True
1442485256,The Vincent Boys,Abbi Glines,https://covers.openlibrary.org/b/id/13226380-M.jpg,2012,True
1442485280,The Vincent Brothers,Abbi Glines,https://covers.openlibrary.org/b/id/13225688-M.jpg,2012,True
1442488603,Just For Now,Abbi Glines,https://covers.openlibrary.org/b/id/10281061-M.jpg,2013,True
1442488638,Because of Low,Abbi Glines,https://covers.openlibrary.org/b/id/13226856-M.jpg,2013,True
1442488662,While it Lasts,Abbi Glines,https://covers.openlibrary.org/b/id/13226920-M.jpg,2013,True
1442488697,Breathe,Abbi Glines,https://covers.openlibrary.org/b/id/13206537-M.jpg,2013,True
1451533969,Love Unscripted,Tina Reber,https://covers.openlibrary.org/b/id/10204840-M.jpg,"Mar 06, 2010",True
1452645493,,,,,False
1452662673,,,,,False
1452663874,,,,,False
1452664935,,,,,False
1453720693,Rock Chick Redemption,alexa riley,,"Nov 08, 2010",True
1455548987,The edge of never,J. A. Redmerski,https://covers.openlibrary.org/b/id/14628004-M.jpg,2013,True
1455549002,The edge of always,J. A. Redmerski,https://covers.openlibrary.org/b/id/9587423-M.jpg,2014,True
1455550833,If you leave,"Cole, Courtney (Novelist)",https://covers.openlibrary.org/b/id/8027620-M.jpg,2013,True
1455557714,Before We Fall,Courtney Cole,https://covers.openlibrary.org/b/id/12724795-M.jpg,2013,True
1455574449,Forgotten Sins,Rebecca Zanetti,,2014,True
1455574856,The secret of Ella and Micha,Jessica Sorensen,https://covers.openlibrary.org/b/id/13426610-M.jpg,2013,True
1455574880,The Forever of Ella and Micha,Jessica Sorensen,https://covers.openlibrary.org/b/id/9338480-M.jpg,"Oct 15, 2013",True
145557631X,Façade,Nyrae Dawn,https://covers.openlibrary.org/b/id/8342819-M.jpg,2013,True
1455576506,The Coincidence of Callie & Kayden,Jessica Sorensen,https://covers.openlibrary.org/b/id/10235739-M.jpg,"Aug 06, 2013",True
1455578312,This Man,Jodi Ellen Malpas,https://covers.openlibrary.org/b/id/9339129-M.jpg,"Oct 22, 2013",True
1455578347,Beneath This Man,Jodi Ellen Malpas,https://covers.openlibrary.org/b/id/9338250-M.jpg,"Nov 26, 2013",True
1455578363,This man confessed,Jodi Ellen Malpas,https://covers.openlibrary.org/b/id/10442991-M.jpg,2014,True
1455582689,The Ever After of Ella and Micha,Jessica Sorensen,https://covers.openlibrary.org/b/id/8463071-M.jpg,"Dec 03, 2013",True
1455599050,The gamble,alexa riley,,2014,True
1455599085,Sweet dreams,alexa riley,https://covers.openlibrary.org/b/id/14358252-M.jpg,2014,True
1455599182,Mystery Man,alexa riley,https://covers.openlibrary.org/b/id/10302396-M.jpg,"Aug 27, 2013",True
1455599204,Wild Man,alexa riley,https://covers.openlibrary.org/b/id/12732179-M.jpg,2013,True
